pdb_path,y,antibody_chains,antigen_chains
synthetic_0.pdb,3.745401188473625,"H,L",A
synthetic_1.pdb,9.50714306409916,"H,L",A
synthetic_2.pdb,7.319939418114051,"H,L",A
synthetic_3.pdb,5.986584841970366,"H,L",A
synthetic_4.pdb,1.5601864044243652,"H,L",A
synthetic_5.pdb,1.5599452033620265,"H,L",A
synthetic_6.pdb,0.5808361216819946,"H,L",A
synthetic_7.pdb,8.661761457749352,"H,L",A
synthetic_8.pdb,6.011150117432088,"H,L",A
synthetic_9.pdb,7.080725777960454,"H,L",A
synthetic_10.pdb,0.20584494295802447,"H,L",A
synthetic_11.pdb,9.699098521619943,"H,L",A
synthetic_12.pdb,8.324426408004218,"H,L",A
synthetic_13.pdb,2.1233911067827616,"H,L",A
synthetic_14.pdb,1.8182496720710062,"H,L",A
synthetic_15.pdb,1.8340450985343382,"H,L",A
synthetic_16.pdb,3.0424224295953772,"H,L",A
synthetic_17.pdb,5.247564316322379,"H,L",A
synthetic_18.pdb,4.319450186421157,"H,L",A
synthetic_19.pdb,2.9122914019804194,"H,L",A
